path	category	target_case	proposed_path	reason	confidence
images/items/WF-TS-001B.webp	public_assets	kebab	images/items/wf-ts-001-b.webp	rename to kebab-case	medium
images/items/WF-TS-001C.png	public_assets	kebab	images/items/wf-ts-001-c.png	rename to kebab-case	medium
images/items/WF-TS-001C.webp	public_assets	kebab	images/items/wf-ts-001-c.webp	rename to kebab-case	medium
images/items/WF-TS-001D.png	public_assets	kebab	images/items/wf-ts-001-d.png	rename to kebab-case	medium
images/items/WF-TS-001D.webp	public_assets	kebab	images/items/wf-ts-001-d.webp	rename to kebab-case	medium
images/items/WF-TS-002A.png	public_assets	kebab	images/items/wf-ts-002-a.png	rename to kebab-case	medium
images/items/WF-TS-002A.webp	public_assets	kebab	images/items/wf-ts-002-a.webp	rename to kebab-case	medium
images/items/WF-TS-002B.png	public_assets	kebab	images/items/wf-ts-002-b.png	rename to kebab-case	medium
images/items/WF-TS-002B.webp	public_assets	kebab	images/items/wf-ts-002-b.webp	rename to kebab-case	medium
images/items/WF-TS-003A.png	public_assets	kebab	images/items/wf-ts-003-a.png	rename to kebab-case	medium
images/items/WF-TS-003A.webp	public_assets	kebab	images/items/wf-ts-003-a.webp	rename to kebab-case	medium
images/items/WF-TS-003B.png	public_assets	kebab	images/items/wf-ts-003-b.png	rename to kebab-case	medium
images/items/WF-TS-003B.webp	public_assets	kebab	images/items/wf-ts-003-b.webp	rename to kebab-case	medium
images/items/WF-TS-004A.png	public_assets	kebab	images/items/wf-ts-004-a.png	rename to kebab-case	medium
images/items/WF-TS-004A.webp	public_assets	kebab	images/items/wf-ts-004-a.webp	rename to kebab-case	medium
images/items/WF-TS-005A.png	public_assets	kebab	images/items/wf-ts-005-a.png	rename to kebab-case	medium
images/items/WF-TS-005A.webp	public_assets	kebab	images/items/wf-ts-005-a.webp	rename to kebab-case	medium
images/items/WF-TS-005B.png	public_assets	kebab	images/items/wf-ts-005-b.png	rename to kebab-case	medium
images/items/WF-TS-005B.webp	public_assets	kebab	images/items/wf-ts-005-b.webp	rename to kebab-case	medium
images/items/WF-TS-005C.png	public_assets	kebab	images/items/wf-ts-005-c.png	rename to kebab-case	medium
images/items/WF-TS-005C.webp	public_assets	kebab	images/items/wf-ts-005-c.webp	rename to kebab-case	medium
images/items/WF-TU-001A.png	public_assets	kebab	images/items/wf-tu-001-a.png	rename to kebab-case	medium
images/items/WF-TU-001A.webp	public_assets	kebab	images/items/wf-tu-001-a.webp	rename to kebab-case	medium
images/items/WF-TU-002A.png	public_assets	kebab	images/items/wf-tu-002-a.png	rename to kebab-case	medium
images/items/WF-TU-002A.webp	public_assets	kebab	images/items/wf-tu-002-a.webp	rename to kebab-case	medium
images/items/WF-TU-003A.png	public_assets	kebab	images/items/wf-tu-003-a.png	rename to kebab-case	medium
images/items/WF-TU-003A.webp	public_assets	kebab	images/items/wf-tu-003-a.webp	rename to kebab-case	medium
images/items/WF-TU-004A.png	public_assets	kebab	images/items/wf-tu-004-a.png	rename to kebab-case	medium
images/items/WF-TU-004A.webp	public_assets	kebab	images/items/wf-tu-004-a.webp	rename to kebab-case	medium
